stock_item_key,stock_item,color,selling_package,buying_package,size_val,lead_time_days,quantity_per_outer,is_chiller_stock,tax_rate,unit_price,recommended_retail_price,typical_weight_per_unit,tk_stock_item,_version,date_from,date_to,recommended_retail_Price,typical_Weight_Per_Unit
1,Void fill 400 L bag (White) 400L,Unknown,Each,Each,400L,14,10,False,14.0,50.0,74.75,1.0,0,1,1900-01-01,2021-11-20,,
2,Void fill 300 L bag (White) 300L,Unknown,Each,Each,300L,14,10,False,14.0,37.5,56.06,0.75,1,1,1900-01-01,2021-11-20,,
3,Void fill 200 L bag (White) 200L,Unknown,Each,Each,200L,14,10,False,14.0,25.0,37.38,0.5,2,1,1900-01-01,2021-11-20,,
4,Void fill 100 L bag (White) 100L,Unknown,Each,Each,100L,14,10,False,14.0,12.5,18.69,0.25,3,1,1900-01-01,2021-11-20,,
5,Air cushion machine (Blue),Unknown,Each,Each,Unknown,20,1,False,20.0,1899.0,2839.01,10.0,4,1,1900-01-01,2021-11-20,,
6,Air cushion film 200mmx200mm 325m,Unknown,Each,Each,325m,14,1,False,14.0,90.0,134.55,6.0,5,1,1900-01-01,2021-11-20,,
7,Air cushion film 200mmx100mm 325m,Unknown,Each,Each,325m,14,1,False,14.0,87.0,130.07,5.0,6,1,1900-01-01,2021-11-20,,
8,Large  replacement blades 18mm,Unknown,Each,Each,18mm,14,10,False,14.0,4.3,6.43,0.8,7,1,1900-01-01,2021-11-20,,
9,Small 9mm replacement blades 9mm,Unknown,Each,Each,9mm,14,10,False,14.0,4.1,6.13,0.7,8,1,1900-01-01,2021-11-20,,
10,Packing knife with metal insert blade (Yellow) 18mm,Unknown,Each,Each,18mm,14,5,False,14.0,2.4,3.59,0.5,9,1,1900-01-01,2021-11-20,,
11,Packing knife with metal insert blade (Yellow) 9mm,Unknown,Each,Each,9mm,14,5,False,14.0,1.89,2.83,0.5,10,1,1900-01-01,2021-11-20,,
12,Permanent marker red 5mm nib (Red) 5mm,Unknown,Each,Each,5mm,14,12,False,14.0,2.7,4.04,0.1,11,1,1900-01-01,2021-11-20,,
13,Permanent marker blue 5mm nib (Blue) 5mm,Unknown,Each,Each,5mm,14,12,False,14.0,2.7,4.04,0.1,12,1,1900-01-01,2021-11-20,,
14,Permanent marker black 5mm nib (Black) 5mm,Unknown,Each,Each,5mm,14,12,False,14.0,2.7,4.04,0.1,13,1,1900-01-01,2021-11-20,,
15,Tape dispenser (Blue),Unknown,Each,Each,Unknown,20,10,False,20.0,32.0,47.84,1.0,14,1,1900-01-01,2021-11-20,,
16,Tape dispenser (Red),Unknown,Each,Each,Unknown,20,10,False,20.0,32.0,47.84,1.0,15,1,1900-01-01,2021-11-20,,
17,Tape dispenser (Black),Unknown,Each,Each,Unknown,20,10,False,20.0,32.0,47.84,1.0,16,1,1900-01-01,2021-11-20,,
18,Red and white urgent  heavy despatch tape  48mmx100m,Unknown,Each,Each,48mmx100m,14,24,False,14.0,4.1,6.13,0.7,17,1,1900-01-01,2021-11-20,,
19,Red and white urgent despatch tape 48mmx75m,Unknown,Each,Each,48mmx75m,14,24,False,14.0,3.7,5.53,0.5,18,1,1900-01-01,2021-11-20,,
20,Black and yellow heavy despatch tape 48mmx100m,Unknown,Each,Each,48mmx100m,14,24,False,14.0,4.1,6.13,0.7,19,1,1900-01-01,2021-11-20,,
21,Black and yellow heavy despatch tape  48mmx75m,Unknown,Each,Each,48mmx75m,14,24,False,14.0,3.7,5.53,0.5,20,1,1900-01-01,2021-11-20,,
22,Black and orange this way up despatch tape  48mmx100m,Unknown,Each,Each,48mmx100m,14,24,False,14.0,4.1,6.13,0.7,21,1,1900-01-01,2021-11-20,,
23,Black and orange this way up despatch tape 48mmx75m,Unknown,Each,Each,48mmx75m,14,24,False,14.0,3.7,5.53,0.5,22,1,1900-01-01,2021-11-20,,
24,Black and orange handle with care despatch tape  48mmx100m,Unknown,Each,Each,48mmx100m,14,24,False,14.0,4.1,6.13,0.7,23,1,1900-01-01,2021-11-20,,
25,Black and orange handle with care despatch tape  48mmx75m,Unknown,Each,Each,48mmx75m,14,24,False,14.0,3.7,5.53,0.5,24,1,1900-01-01,2021-11-20,,
26,Black and orange glass with care despatch tape  48mmx100m,Unknown,Each,Each,48mmx100m,14,24,False,14.0,4.1,6.13,0.7,25,1,1900-01-01,2021-11-20,,
27,Black and orange glass with care despatch tape 48mmx75m,Unknown,Each,Each,48mmx75m,14,24,False,14.0,3.7,5.53,0.5,26,1,1900-01-01,2021-11-20,,
28,Black and orange fragile despatch tape 48mmx100m,Unknown,Each,Each,48mmx100m,14,36,False,14.0,4.1,6.13,0.7,27,1,1900-01-01,2021-11-20,,
29,Black and orange fragile despatch tape 48mmx75m,Unknown,Each,Each,48mmx75m,14,36,False,14.0,3.7,5.53,0.5,28,1,1900-01-01,2021-11-20,,
30,Clear packaging tape 48mmx100m,Unknown,Each,Each,48mmx100m,14,20,False,14.0,3.5,5.23,0.7,29,1,1900-01-01,2021-11-20,,
31,Clear packaging tape 48mmx75m,Unknown,Each,Each,48mmx75m,14,26,False,14.0,2.9,4.34,0.5,30,1,1900-01-01,2021-11-20,,
